bit_precision,adder,label,family,latency_ns,energy_nj,area_ge
1,full,Full (RCA),exact,0.676,0.007062,1.0
1,sklansky,Sklansky,exact,1.757,0.016876,2.39
1,kogge,Kogge-Stone,exact,1.663,0.0,0.0
1,carrysel,Carry-Select,exact,0.676,0.01929,2.732
1,rbr,RBR,exact,2.194,0.03055,4.326
1,loa,LOA,approximate,0.2691,0.002123,0.61
1,ccba,CCBA,approximate,0.3356,0.002897,0.44
1,trua,TruA,approximate,0.2417,0.001863,0.52
1,gear,GeAr,approximate,0.3726,0.004322,0.714
1,csa,CSA,approximate,0.4134,0.004203,0.667
2,full,Full (RCA),exact,0.676,0.014123,2.0
2,sklansky,Sklansky,exact,1.757,0.024453,3.463
2,kogge,Kogge-Stone,exact,1.663,0.016854,2.387
2,carrysel,Carry-Select,exact,0.676,0.038579,5.463
2,rbr,RBR,exact,2.194,0.061101,8.652
2,loa,LOA,approximate,0.2691,0.006148,1.037
2,ccba,CCBA,approximate,0.3356,0.005826,0.888
2,trua,TruA,approximate,0.2417,0.005393,0.884
2,gear,GeAr,approximate,0.3726,0.008643,1.428
2,csa,CSA,approximate,0.4134,0.008406,1.334
3,full,Full (RCA),exact,0.915,0.021185,3.0
3,sklansky,Sklansky,exact,2.556,0.035935,5.089
3,kogge,Kogge-Stone,exact,2.227,0.037222,5.271
3,carrysel,Carry-Select,exact,0.915,0.057869,8.195
3,rbr,RBR,exact,2.194,0.091651,12.979
3,loa,LOA,approximate,0.3643,0.010174,1.464
3,ccba,CCBA,approximate,0.4543,0.008786,1.346
3,trua,TruA,approximate,0.3271,0.008924,1.248
3,gear,GeAr,approximate,0.5043,0.012965,2.142
3,csa,CSA,approximate,0.5595,0.012609,2.002
4,full,Full (RCA),exact,1.154,0.028247,4.0
4,sklansky,Sklansky,exact,2.556,0.049016,6.941
4,kogge,Kogge-Stone,exact,2.227,0.05864,8.304
4,carrysel,Carry-Select,exact,1.154,0.077158,10.926
4,rbr,RBR,exact,2.194,0.122201,17.305
4,loa,LOA,approximate,0.4594,0.014199,1.891
4,ccba,CCBA,approximate,0.5729,0.011779,1.812
4,trua,TruA,approximate,0.4126,0.012455,1.612
4,gear,GeAr,approximate,0.636,0.017287,2.856
4,csa,CSA,approximate,0.7057,0.016812,2.669
5,full,Full (RCA),exact,1.393,0.035308,5.0
5,sklansky,Sklansky,exact,3.152,0.062972,8.917
5,kogge,Kogge-Stone,exact,2.823,0.080743,11.434
5,carrysel,Carry-Select,exact,2.398,0.096448,13.658
5,rbr,RBR,exact,2.194,0.152752,21.631
5,loa,LOA,approximate,0.5546,0.018224,2.501
5,ccba,CCBA,approximate,0.6916,0.014803,2.288
5,trua,TruA,approximate,0.498,0.015986,2.132
5,gear,GeAr,approximate,0.7677,0.021609,3.57
