bp,key,label,family,latency_ns,energy_nj,area_ge,ned,mred_pct,ed_max
2,exact_array,Exact Array,exact,6.8402,0.254856,32.0,0.0,0.0,0
2,exact_log,Exact Logarithmic,exact,5.7044,0.091651,17.6,0.0,0.0,0
2,aaxd,AAXD,approximate,2.667678,0.077986,12.16,2.97,6.61,49
2,inzed,INZeD,approximate,2.872884,0.086141,13.44,4.5,8.2,85
2,axdr1,AXDr1,approximate,3.351698,0.101687,15.68,1.32,4.32,51
2,axdr3,AXDr3,approximate,3.556904,0.10602,16.64,0.97,3.25,85
2,seerad4,SEERAD-4,approximate,3.967316,0.122586,18.56,1.09,2.71,165
2,daxd,DAXD,approximate,3.76211,0.11494,17.6,7.44,16.39,240
2,sc,SC Divider,approximate,16.4,0.002496,9.6,15.0,25.0,500
2,rapid,RAPID,approximate,2.8,0.0014,10.24,3.5,7.2,120
2,fpca3d,3D-FPCA,approximate,3.82576,0.128602,27.2,2.5,5.8,60
3,exact_array,Exact Array,exact,17.8779,0.616024,72.0,0.0,0.0,0
3,exact_log,Exact Logarithmic,exact,5.7044,0.137476,39.6,0.0,0.0,0
3,aaxd,AAXD,approximate,6.972381,0.188503,27.36,2.97,6.61,49
3,inzed,INZeD,approximate,7.508718,0.208216,30.24,4.5,8.2,85
3,axdr1,AXDr1,approximate,8.760171,0.245793,35.28,1.32,4.32,51
3,axdr3,AXDr3,approximate,9.296508,0.256266,37.44,0.97,3.25,85
3,seerad4,SEERAD-4,approximate,10.369182,0.296307,41.76,1.09,2.71,165
3,daxd,DAXD,approximate,9.832845,0.277827,39.6,7.44,16.39,240
3,sc,SC Divider,approximate,32.8,0.004992,21.6,15.0,25.0,500
3,rapid,RAPID,approximate,3.501955,0.0024,23.04,3.5,7.2,120
3,fpca3d,3D-FPCA,approximate,9.50235,0.307876,61.2,2.5,5.8,60
4,exact_array,Exact Array,exact,25.4196,1.131656,128.0,0.0,0.0,0
4,exact_log,Exact Logarithmic,exact,5.7044,0.183302,70.4,0.0,0.0,0
4,aaxd,AAXD,approximate,9.913644,0.346287,48.64,2.97,6.61,49
4,inzed,INZeD,approximate,10.676232,0.3825,53.76,4.5,8.2,85
4,axdr1,AXDr1,approximate,12.455604,0.451531,62.72,1.32,4.32,51
