bit_precision,multiplier,label,family,latency_ns,energy_nj,area_ge
1,full,Full (RC Array),exact,1.617,0.004355,1.0
1,sklansky,Sklansky,exact,5.12,0.021167,4.86
1,carrysel,Carry-Select,exact,2.974,0.021167,4.86
1,rbr,RBR,exact,11.232,0.076866,17.65
1,mitchell,Mitchell,approximate,6.652,0.028247,4.0
1,alm_soa,ALM-SOA,approximate,7.0032,0.030102,4.772
1,ilm_aa,ILM-AA,approximate,19.1869,0.036196,6.935
1,cgpm1,CGPM1,approximate,0.8408,0.002177,0.43
1,tam1,TAM1,approximate,0.5365,0.002003,0.44
1,hocm,HOCM (1StepTrunc),approximate,0.6306,0.001568,0.5
1,cgpm3,CGPM3,approximate,0.9379,0.002606,0.561
1,bam,BAM,approximate,0.6145,-7.3e-05,0.28
2,full,Full (RC Array),exact,1.617,0.028743,4.0
2,sklansky,Sklansky,exact,5.12,0.110807,15.42
2,carrysel,Carry-Select,exact,2.974,0.110807,15.42
2,rbr,RBR,exact,11.232,0.185145,25.766
2,mitchell,Mitchell,approximate,6.652,0.056493,8.0
2,alm_soa,ALM-SOA,approximate,7.0032,0.060412,9.585
2,ilm_aa,ILM-AA,approximate,19.1869,0.0727,13.965
2,cgpm1,CGPM1,approximate,0.8408,0.014479,1.736
2,tam1,TAM1,approximate,0.5365,0.011106,1.496
2,hocm,HOCM (1StepTrunc),approximate,0.6306,0.012359,1.74
2,cgpm3,CGPM3,approximate,0.9379,0.017291,2.261
2,bam,BAM,approximate,0.5223,0.005174,0.899
3,full,Full (RC Array),exact,4.067,0.072293,9.0
3,sklansky,Sklansky,exact,8.722,0.267836,33.344
3,carrysel,Carry-Select,exact,7.773,0.267836,33.344
3,rbr,RBR,exact,16.872,0.324836,40.44
3,mitchell,Mitchell,approximate,8.908,0.08474,12.0
3,alm_soa,ALM-SOA,approximate,9.4951,0.090931,14.438
3,ilm_aa,ILM-AA,approximate,26.3291,0.10951,21.089
3,cgpm1,CGPM1,approximate,2.1148,0.036698,3.944
3,tam1,TAM1,approximate,1.3494,0.02616,3.168
